Employee's PIN,Employee's Name,Employee's Surname,Date of Birth,E-mail,Telephone,Education,Known languages,Salary per month,Position,Date of admission ,Date of end of work on the current position
1,Alix,Bakos,20.06.1969,bfugiel@grupa.pl, (351) 919 797 212,-,4,7400, Animator, 2019-10-19, 2020-04-20
2,J·nos,Savage,19.07.1971,matiasenzo@clix.pt,351937543378,Medium,1,6000, Tour Guide, 2019-09-15, 2020-07-31
3,Viktor,Garay,13.07.1976,xpinheiro@esteves.com,962424270,Medium,1,7100, Resident, 2020-01-31, 2020-10-06
4,Lucie,Chen,17.03.1999,leonardo74@pinheiro.pt, (351) 967 643 512,Medium,1,2100, Tour Guide, 2019-10-12, 2020-04-17
5,ViktÛria,Sedl·Ëkov·,04.09.1976,tavaresmario@hotmail.com,961941631,Medium,5,7700, Animator, 2019-11-21, 2020-05-11
6,Raffaele,Martin,07.04.1971,lara87@hotmail.com,579228152,High,1,3000, Animator, 2019-09-08, 2020-07-01
7,Anne,Carocci,17.03.1997,omadajczyk@o2.pl, (351) 915 928 144,High,6,3900, Tour Guide, 2020-02-10, 2020-07-31
8,Henry,Hicks,09.08.1997,qborges@gaspar.pt,48516724959,High,6,7200, Resident, 2020-02-03, 2020-09-09
9,Gyˆrgyi,Antonini,27.09.1972,vsadlocha@gabinety.com,351969594938,-,1,7700, Resident, 2019-11-02, 2020-07-05
10,Julianna,Janiuk,05.04.1989,coelhohelena@sapo.pt,880325856,-,1,4500, Animator, 2020-02-24, 2020-07-29
11,Radim,Owsiany,08.06.1991,matossimao@gmail.com, (351) 922899128,-,3,5300, Tour Guide, 2019-12-19, 2020-07-26
12,Brandy,Abbott,25.05.1984,kapustkanela@grupa.com,351923586970,High,2,6600, Animator, 2019-09-29, 2020-07-11
13,Antoinette,Morgagni,17.10.1992,oliveiralucia@hotmail.com, (351) 930 339 982,Medium,1,7100, Resident, 2020-01-20, 2020-06-19
14,RÈmy,Hale,23.09.1981,zietaljulianna@dudkowiak.org,48608254542,Medium,1,4200, Tour Guide, 2019-10-24, 2020-09-16
15,Alejandra,Williams,25.05.2001,zbany@o2.pl, (351) 927875918,-,1,2800, Animator, 2019-10-20, 2020-05-24
16,Sarah,Nov·k,22.07.1982,bruno83@o2.pl,48697578187,High,3,3400, Resident, 2020-01-13, 2020-10-05
17,JÛzef,Cerro,23.09.1991,andrademicael@ferreira.pt, +48 32 266 04 99,-,6,3600, Resident, 2019-12-27, 2020-07-03
18,Ruben,PerellÛ,04.01.1987,jgaspar@coelho.pt, (351) 913985836,-,5,6300, Animator, 2020-01-18, 2020-09-26
19,Michael,Parker,12.07.1977,tatianagarcia@sapo.pt,694858871,High,4,3500, Tour Guide, 2019-11-12, 2020-06-30
20,Tobiasz,Cudzich,20.06.1979,ksawery24@fpuh.com,517373142,-,5,7800, Tour Guide, 2019-10-12, 2020-06-13
21,Abbie,Alvarez,02.05.1992,hsilva@almeida.pt,48793066765,-,4,7200, Resident, 2019-09-04, 2020-06-03
22,Jamie,George,14.03.2002,vcoelho@gaspar.com,601523186,High,2,7700, Tour Guide, 2019-10-24, 2020-08-27
23,Gotthilf,Arana,20.03.1983,sosnowkaliwia@interia.pl,351929043772,High,1,3800, Animator, 2020-01-15, 2020-04-14
24,Javier,Khan,01.11.1989,borgesmateus@santos.pt, (351) 939 695 890,Medium,2,7800, Tour Guide, 2019-12-24, 2020-07-17
25,Stephen,Allen,29.10.1986,netocaetana@anjos.pt,969741197,-,6,1600, Resident, 2019-10-13, 2020-04-28
26,Eug?ne,Gonzaga,24.12.1987,damian96@usarek-wojtyna.com,48573183140,High,1,5600, Resident, 2020-01-01, 2020-09-13
27,Javier,Robbins,06.07.1982,figueiredogabriel@neto.com,921049209,Medium,1,1400, Resident, 2019-11-01, 2020-05-15
28,Samuel,Galica,04.10.1988,margaridaneves@garcia.pt,48736494425,High,5,4900, Tour Guide, 2019-12-27, 2020-08-08
29,HÈl?ne,Vargas,16.03.1971,andrefigueiredo@neves.com,519437645,-,4,5400, Tour Guide, 2020-02-01, 2020-10-09
30,Marcela,Aleksa,25.05.1990,igorteixeira@correia.pt,48667953820,Medium,2,5000, Animator, 2019-11-19, 2020-10-05
31,Ji¯Ì,Monnier,27.04.1980,gsimoes@clix.pt,608426744,Medium,1,7400, Animator, 2020-01-13, 2020-09-19
32,Abigail,Comencini,09.10.1994,teixeiraluis@vaz.com,739867039,Medium,6,2600, Tour Guide, 2019-09-26, 2020-05-02
33,Irma,ÿÌha,26.01.1999,cogielmaksymilian@gmail.com,351926457315,High,5,7900, Resident, 2019-10-30, 2020-05-27
34,Luzia,Cordier,14.11.1974,szymon58@niklewicz-woszczak.pl, (351) 916 815 264,Medium,4,1200, Resident, 2019-09-06, 2020-08-07
35,OlivÈr,Horv·th,29.05.1988,amatias@hotmail.com,910000983,-,1,4700, Resident, 2020-01-26, 2020-10-08
36,Giuseppina,Teruel,22.08.1991,worochtymoteusz@yahoo.com, (351) 927 076 853,High,5,6400, Resident, 2020-01-03, 2020-04-13
37,Victoria,Koch,04.03.1994,fchlad@spoldzielnia.pl,699031403,Medium,6,2400, Resident, 2020-02-27, 2020-07-20
38,RÛbert,Lane,03.03.1973,hcardoso@sapo.pt, +48 32 359 50 06,Medium,1,7700, Animator, 2020-02-14, 2020-07-15
39,Eric,Marshall,06.10.1991,zbrzek@spoldzielnia.com,961464789,Medium,5,5300, Resident, 2020-01-29, 2020-04-27
